file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,46
style.css,53,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,70
style.css,54,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,55,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,56,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,17
style.css,57,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,5
style.css,58,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,13
style.css,59,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,31
style.css,60,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,8
style.css,61,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,16
style.css,62,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,14
style.css,63,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,64,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,65,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,6
style.css,66,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,14
style.css,67,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,17
style.css,68,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,69,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,0
style.css,70,css,0e5e0b5d,scottbenninger,2025-01-17,13:48:20,-08:00,2025-01-17T13:48:20-08:00,0,5
style.css,71,css,0e5e0b5d,scottbenninger,2025-01-17,13:48:20,-08:00,2025-01-17T13:48:20-08:00,0,9
style.css,72,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,14
style.css,73,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,13
style.css,74,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,11
style.css,75,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,14
style.css,76,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,22
style.css,77,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,37
style.css,78,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,18
style.css,79,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,24
style.css,80,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,17
style.css,81,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,0
style.css,82,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,0
style.css,83,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,11
style.css,84,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,15
style.css,85,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,13
